full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"hacer","hago","haces","hace","hacemos","hacéis","hacen","hacía","hacías","hacía","hacíamos","hacíais","hacían","hice","hiciste","hizo","hicimos","hicisteis","hicieron","haré","harás","hará","haremos","haréis","harán","haría","harías","haría","haríamos","haríais","harían","haga","hagas","haga","hagamos","hagáis","hagan","hiciera","hicieras","hiciera","hiciéramos","hicierais","hicieran",,"hace","haga","hagamos","haced","hagan",,"hagas","haga","hagamos","hagáis","hagan","haciendo","hecho","hecho"
"hacer","hago","haces","hace","hacemos","hacéis","hacen","hacía","hacías","hacía","hacíamos","hacíais","hacían","hice","hiciste","hizo","hicimos","hicisteis","hicieron","haré","harás","hará","haremos","haréis","harán","haría","harías","haría","haríamos","haríais","harían","haga","hagas","haga","hagamos","hagáis","hagan","hiciera","hicieras","hiciera","hiciéramos","hicierais","hicieran",,"hace","haga","hagamos","haced","hagan",,"hagas","haga","hagamos","hagáis","hagan","haciendo","hecho","hecho"
"abstenerse","me abstengo","te abstienes","se abstiene","nos abstenemos","os abstenéis","se abstienen","me abstenía","te abstenías","se abstenía","nos absteníamos","os absteníais","se abstenían","me abstuve","te abstuviste","se abstuvo","nos abstuvimos","os abstuvisteis","se abstuvieron","me abstendré","te abstendrás","se abstendrá","nos abstendremos","os abstendréis","se abstendrán","me abstendría","te abstendrías","se abstendría","nos abstendríamos","os abstendríais","se abstendrían","me abstenga","te abstengas","se abstenga","nos abstengamos","os abstengáis","se abstengan","me abstuviera","te abstuvieras","se abstuviera","nos abstuviéramos","os abstuvierais","se abstuvieran",,"abstente","absténgase","abstengámonos","absteneos","absténganse",,"te abstengas","absténgase","abstengámonos","os abstengáis","absténganse","absteniéndose","abstenido","abstenido"
"asir","asgo","ases","ase","asimos","asís","asen","asía","asías","asía","asíamos","asíais","asían","así","asiste","asió","asimos","asisteis","asieron","asiré","asirás","asirá","asiremos","asiréis","asirán","asiría","asirías","asiría","asiríamos","asiríais","asirían","asga","asgas","asga","asgamos","asgáis","asgan","asiera","asieras","asiera","asiéramos","asierais","asieran",,"ase","asga","asgamos","asid","asgan",,"asgas","asga","asgamos","asgáis","asgan","asiendo","asido","asido"
"atenerse","me atengo","te atienes","se atiene","nos atenemos","os atenéis","se atienen","me atenía","te atenías","se atenía","nos ateníamos","os ateníais","se atenían","me atuve","te atuviste","se atuvo","nos atuvimos","os atuvisteis","se atuvieron","me atendré","te atendrás","se atendrá","nos atendremos","os atendréis","se atendrán","me atendría","te atendrías","se atendría","nos atendríamos","os atendríais","se atendrían","me atenga","te atengas","se atenga","nos atengamos","os atengáis","se atengan","me atuviera","te atuvieras","se atuviera","nos atuviéramos","os atuvierais","se atuvieran",,"atente","aténgase","atengámonos","ateneos","aténganse",,"te atengas","aténgase","atengámonos","os atengáis","aténganse","ateniéndose","atenido","atenido"
"atraer","atraigo","atraes","atrae","atraemos","atraéis","atraen","atraía","atraías","atraía","atraíamos","atraíais","atraían","atraje","atrajiste","atrajo","atrajimos","atrajisteis","atrajeron","atraeré","atraerás","atraerá","atraeremos","atraeréis","atraerán","atraería","atraerías","atraería","atraeríamos","atraeríais","atraerían","atraiga","atraigas","atraiga","atraigamos","atraigáis","atraigan","atrajera","atrajeras","atrajera","atrajéramos","atrajerais","atrajeran",,"atrae","atraiga","atraigamos","atraed","atraigan",,"atraigas","atraiga","atraigamos","atraigáis","atraigan","atrayendo","atraído","atraído"
"bendecir","bendigo","bendices","bendice","bendecimos","bendecís","bendicen","bendecía","bendecías","bendecía","bendecíamos","bendecíais","bendecían","bendije","bendijiste","bendijo","bendijimos","bendijisteis","bendijeron","bendeciré","bendecirás","bendecirá","bendeciremos","bendeciréis","bendecirán","bendeciría","bendecirías","bendeciría","bendeciríamos","bendeciríais","bendecirían","bendiga","bendigas","bendiga","bendigamos","bendigáis","bendigan","bendijera","bendijeras","bendijera","bendijéramos","bendijerais","bendijeran",,"bendice","bendiga","bendigamos","bendecid","bendigan",,"bendigas","bendiga","bendigamos","bendigáis","bendigan","bendiciendo","bendecido","bendito"
"caer","caigo","caes","cae","caemos","caéis","caen","caía","caías","caía","caíamos","caíais","caían","caí","caíste","cayó","caímos","caísteis","cayeron","caeré","caerás","caerá","caeremos","caeréis","caerán","caería","caerías","caería","caeríamos","caeríais","caerían","caiga","caigas","caiga","caigamos","caigáis","caigan","cayera","cayeras","cayera","cayéramos","cayerais","cayeran",,"cae","caiga","caigamos","caed","caigan",,"caigas","caiga","caigamos","caigáis","caigan","cayendo","caído","caído"
"caerse","me caigo","te caes","se cae","nos caemos","os caéis","se caen","me caía","te caías","se caía","nos caíamos","os caíais","se caían","me caí","te caíste","se cayó","nos caímos","os caísteis","se cayeron","me caeré","te caerás","se caerá","nos caeremos","os caeréis","se caerán","me caería","te caerías","se caería","nos caeríamos","os caeríais","se caerían","me caiga","te caigas","se caiga","nos caigamos","os caigáis","se caigan","me cayera","te cayeras","se cayera","nos cayéramos","os cayerais","se cayeran",,"cáete","cáigase","caigámonos","caeos","cáiganse",,"te caigas","cáigase","caigámonos","os caigáis","cáiganse","cayéndose","caído","caído"
"componer","compongo","compones","compone","componemos","componéis","componen","componía","componías","componía","componíamos","componíais","componían","compuse","compusiste","compuso","compusimos","compusisteis","compusieron","compondré","compondrás","compondrá","compondremos","compondréis","compondrán","compondría","compondrías","compondría","compondríamos","compondríais","compondrían","componga","compongas","componga","compongamos","compongáis","compongan","compusiera","compusieras","compusiera","compusiéramos","compusierais","compusieran",,"compón","componga","compongamos","componed","compongan",,"compongas","componga","compongamos","compongáis","compongan","componiendo","compuesto","compuesto"
"contener","contengo","contienes","contiene","contenemos","contenéis","contienen","contenía","contenías","contenía","conteníamos","conteníais","contenían","contuve","contuviste","contuvo","contuvimos","contuvisteis","contuvieron","contendré","contendrás","contendrá","contendremos","contendréis","contendrán","contendría","contendrías","contendría","contendríamos","contendríais","contendrían","contenga","contengas","contenga","contengamos","contengáis","contengan","contuviera","contuvieras","contuviera","contuviéramos","contuvierais","contuvieran",,"contén","contenga","contengamos","contened","contengan",,"contengas","contenga","contengamos","contengáis","contengan","conteniendo","contenido","contenido"
"convenir","convengo","convienes","conviene","convenimos","convenís","convienen","convenía","convenías","convenía","conveníamos","conveníais","convenían","convine","conviniste","convino","convinimos","convinisteis","convinieron","convendré","convendrás","convendrá","convendremos","convendréis","convendrán","convendría","convendrías","convendría","convendríamos","convendríais","convendrían","convenga","convengas","convenga","convengamos","convengáis","convengan","conviniera","convinieras","conviniera","conviniéramos","convinierais","convinieran",,"conviene","convenga","convengamos","convenid","convengan",,"convengas","convenga","convengamos","convengáis","convengan","conviniendo","convenido","convenido"
"decir","digo","dices","dice","decimos","decís","dicen","decía","decías","decía","decíamos","decíais","decían","dije","dijiste","dijo","dijimos","dijisteis","dijeron","diré","dirás","dirá","diremos","diréis","dirán","diría","dirías","diría","diríamos","diríais","dirían","diga","digas","diga","digamos","digáis","digan","dijera","dijeras","dijera","dijéramos","dijerais","dijeran",,"di","diga","digamos","decid","digan",,"digas","diga","digamos","digáis","digan","diciendo","dicho","decido"
"deshacer","deshago","deshaces","deshace","deshacemos","deshacéis","deshacen","deshacía","deshacías","deshacía","deshacíamos","deshacíais","deshacían","deshice","deshiciste","deshizo","deshicimos","deshicisteis","deshicieron","desharé","desharás","deshará","desharemos","desharéis","desharán","desharía","desharías","desharía","desharíamos","desharíais","desharían","deshaga","deshagas","deshaga","deshagamos","deshagáis","deshagan","deshiciera","deshicieras","deshiciera","deshiciéramos","deshicierais","deshicieran",,"deshace","deshaga","deshagamos","deshaced","deshagan",,"deshagas","deshaga","deshagamos","deshagáis","deshagan","deshaciendo","deshecho","deshecho"
"detener","detengo","detienes","detiene","detenemos","detenéis","detienen","detenía","detenías","detenía","deteníamos","deteníais","detenían","detuve","detuviste","detuvo","detuvimos","detuvisteis","detuvieron","detendré","detendrás","detendrá","detendremos","detendréis","detendrán","detendría","detendrías","detendría","detendríamos","detendríais","detendrían","detenga","detengas","detenga","detengamos","detengáis","detengan","detuviera","detuvieras","detuviera","detuviéramos","detuvierais","detuvieran",,"detén","detenga","detengamos","detened","detengan",,"detengas","detenga","detengamos","detengáis","detengan","deteniendo","detenido","detenido"
"detenerse","me detengo","te detienes","se detiene","nos detenemos","os detenéis","se detienen","me detenía","te detenías","se detenía","nos deteníamos","os deteníais","se detenían","me detuve","te detuviste","se detuvo","nos detuvimos","os detuvisteis","se detuvieron","me detendré","te detendrás","se detendrá","nos detendremos","os detendréis","se detendrán","me detendría","te detendrías","se detendría","nos detendríamos","os detendríais","se detendrían","me detenga","te detengas","se detenga","nos detengamos","os detengáis","se detengan","me detuviera","te detuvieras","se detuviera","nos detuviéramos","os detuvierais","se detuvieran",,"detente","deténgase","detengámonos","deteneos","deténganse",,"te detengas","deténgase","detengámonos","os detengáis","deténganse","deteniéndose","detenido","detenido"
