full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"abrazar","abrazo","abrazas","abraza","abrazamos","abrazáis","abrazan","abrazaba","abrazabas","abrazaba","abrazábamos","abrazabais","abrazaban","abracé","abrazaste","abrazó","abrazamos","abrazasteis","abrazaron","abrazaré","abrazarás","abrazará","abrazaremos","abrazaréis","abrazarán","abrazaría","abrazarías","abrazaría","abrazaríamos","abrazaríais","abrazarían","abrace","abraces","abrace","abracemos","abracéis","abracen","abrazara","abrazaras","abrazara","abrazáramos","abrazarais","abrazaran",,"abraza","abrace","abracemos","abrazad","abracen",,"abraces","abrace","abracemos","abracéis","abracen","abrazando","abrazado","abrazado"
"alcanzar","alcanzo","alcanzas","alcanza","alcanzamos","alcanzáis","alcanzan","alcanzaba","alcanzabas","alcanzaba","alcanzábamos","alcanzabais","alcanzaban","alcancé","alcanzaste","alcanzó","alcanzamos","alcanzasteis","alcanzaron","alcanzaré","alcanzarás","alcanzará","alcanzaremos","alcanzaréis","alcanzarán","alcanzaría","alcanzarías","alcanzaría","alcanzaríamos","alcanzaríais","alcanzarían","alcance","alcances","alcance","alcancemos","alcancéis","alcancen","alcanzara","alcanzaras","alcanzara","alcanzáramos","alcanzarais","alcanzaran",,"alcanza","alcance","alcancemos","alcanzad","alcancen",,"alcances","alcance","alcancemos","alcancéis","alcancen","alcanzando","alcanzado","alcanzado"
"almorzar","almuerzo","almuerzas","almuerza","almorzamos","almorzáis","almuerzan","almorzaba","almorzabas","almorzaba","almorzábamos","almorzabais","almorzaban","almorcé","almorzaste","almorzó","almorzamos","almorzasteis","almorzaron","almorzaré","almorzarás","almorzará","almorzaremos","almorzaréis","almorzarán","almorzaría","almorzarías","almorzaría","almorzaríamos","almorzaríais","almorzarían","almuerce","almuerces","almuerce","almorcemos","almorcéis","almuercen","almorzara","almorzaras","almorzara","almorzáramos","almorzarais","almorzaran",,"almuerza","almuerce","almorcemos","almorzad","almuercen",,"almuerces","almuerce","almorcemos","almorcéis","almuercen","almorzando","almorzado","almorzado"
"alzar","alzo","alzas","alza","alzamos","alzáis","alzan","alzaba","alzabas","alzaba","alzábamos","alzabais","alzaban","alcé","alzaste","alzó","alzamos","alzasteis","alzaron","alzaré","alzarás","alzará","alzaremos","alzaréis","alzarán","alzaría","alzarías","alzaría","alzaríamos","alzaríais","alzarían","alce","alces","alce","alcemos","alcéis","alcen","alzara","alzaras","alzara","alzáramos","alzarais","alzaran",,"alza","alce","alcemos","alzad","alcen",,"alces","alce","alcemos","alcéis","alcen","alzando","alzado","alzado"
"avanzar","avanzo","avanzas","avanza","avanzamos","avanzáis","avanzan","avanzaba","avanzabas","avanzaba","avanzábamos","avanzabais","avanzaban","avancé","avanzaste","avanzó","avanzamos","avanzasteis","avanzaron","avanzaré","avanzarás","avanzará","avanzaremos","avanzaréis","avanzarán","avanzaría","avanzarías","avanzaría","avanzaríamos","avanzaríais","avanzarían","avance","avances","avance","avancemos","avancéis","avancen","avanzara","avanzaras","avanzara","avanzáramos","avanzarais","avanzaran",,"avanza","avance","avancemos","avanzad","avancen",,"avances","avance","avancemos","avancéis","avancen","avanzando","avanzado","avanzado"
"bautizar","bautizo","bautizas","bautiza","bautizamos","bautizáis","bautizan","bautizaba","bautizabas","bautizaba","bautizábamos","bautizabais","bautizaban","bauticé","bautizaste","bautizó","bautizamos","bautizasteis","bautizaron","bautizaré","bautizarás","bautizará","bautizaremos","bautizaréis","bautizarán","bautizaría","bautizarías","bautizaría","bautizaríamos","bautizaríais","bautizarían","bautice","bautices","bautice","bauticemos","bauticéis","bauticen","bautizara","bautizaras","bautizara","bautizáramos","bautizarais","bautizaran",,"bautiza","bautice","bauticemos","bautizad","bauticen",,"bautices","bautice","bauticemos","bauticéis","bauticen","bautizando","bautizado","bautizado"
"bostezar","bostezo","bostezas","bosteza","bostezamos","bostezáis","bostezan","bostezaba","bostezabas","bostezaba","bostezábamos","bostezabais","bostezaban","bostecé","bostezaste","bostezó","bostezamos","bostezasteis","bostezaron","bostezaré","bostezarás","bostezará","bostezaremos","bostezaréis","bostezarán","bostezaría","bostezarías","bostezaría","bostezaríamos","bostezaríais","bostezarían","bostece","bosteces","bostece","bostecemos","bostecéis","bostecen","bostezara","bostezaras","bostezara","bostezáramos","bostezarais","bostezaran",,"bosteza","bostece","bostecemos","bostezad","bostecen",,"bosteces","bostece","bostecemos","bostecéis","bostecen","bostezando","bostezado","bostezado"
"calzar","calzo","calzas","calza","calzamos","calzáis","calzan","calzaba","calzabas","calzaba","calzábamos","calzabais","calzaban","calcé","calzaste","calzó","calzamos","calzasteis","calzaron","calzaré","calzarás","calzará","calzaremos","calzaréis","calzarán","calzaría","calzarías","calzaría","calzaríamos","calzaríais","calzarían","calce","calces","calce","calcemos","calcéis","calcen","calzara","calzaras","calzara","calzáramos","calzarais","calzaran",,"calza","calce","calcemos","calzad","calcen",,"calces","calce","calcemos","calcéis","calcen","calzando","calzado","calzado"
"caracterizar","caracterizo","caracterizas","caracteriza","caracterizamos","caracterizáis","caracterizan","caracterizaba","caracterizabas","caracterizaba","caracterizábamos","caracterizabais","caracterizaban","caractericé","caracterizaste","caracterizó","caracterizamos","caracterizasteis","caracterizaron","caracterizaré","caracterizarás","caracterizará","caracterizaremos","caracterizaréis","caracterizarán","caracterizaría","caracterizarías","caracterizaría","caracterizaríamos","caracterizaríais","caracterizarían","caracterice","caracterices","caracterice","caractericemos","caractericéis","caractericen","caracterizara","caracterizaras","caracterizara","caracterizáramos","caracterizarais","caracterizaran",,"caracteriza","caracterice","caractericemos","caracterizad","caractericen",,"caracterices","caracterice","caractericemos","caractericéis","caractericen","caracterizando","caracterizado","caracterizado"
"comenzar","comienzo","comienzas","comienza","comenzamos","comenzáis","comienzan","comenzaba","comenzabas","comenzaba","comenzábamos","comenzabais","comenzaban","comencé","comenzaste","comenzó","comenzamos","comenzasteis","comenzaron","comenzaré","comenzarás","comenzará","comenzaremos","comenzaréis","comenzarán","comenzaría","comenzarías","comenzaría","comenzaríamos","comenzaríais","comenzarían","comience","comiences","comience","comencemos","comencéis","comiencen","comenzara","comenzaras","comenzara","comenzáramos","comenzarais","comenzaran",,"comienza","comience","comencemos","comenzad","comiencen",,"comiences","comience","comencemos","comencéis","comiencen","comenzando","comenzado","comenzado"
