full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"abrir","abro","abres","abre","abrimos","abrís","abren","abría","abrías","abría","abríamos","abríais","abrían","abrí","abriste","abrió","abrimos","abristeis","abrieron","abriré","abrirás","abrirá","abriremos","abriréis","abrirán","abriría","abrirías","abriría","abriríamos","abriríais","abrirían","abra","abras","abra","abramos","abráis","abran","abriera","abrieras","abriera","abriéramos","abrierais","abrieran",,"abre","abra","abramos","abrid","abran",,"abras","abra","abramos","abráis","abran","abriendo","abierto","abierto"
"absolver","absuelvo","absuelves","absuelve","absolvemos","absolvéis","absuelven","absolvía","absolvías","absolvía","absolvíamos","absolvíais","absolvían","absolví","absolviste","absolvió","absolvimos","absolvisteis","absolvieron","absolveré","absolverás","absolverá","absolveremos","absolveréis","absolverán","absolvería","absolverías","absolvería","absolveríamos","absolveríais","absolverían","absuelva","absuelvas","absuelva","absolvamos","absolváis","absuelvan","absolviera","absolvieras","absolviera","absolviéramos","absolvierais","absolvieran",,"absuelve","absuelva","absolvamos","absolved","absuelvan",,"absuelvas","absuelva","absolvamos","absolváis","absuelvan","absolviendo","absuelto","absuelto"
"cubrir","cubro","cubres","cubre","cubrimos","cubrís","cubren","cubría","cubrías","cubría","cubríamos","cubríais","cubrían","cubrí","cubriste","cubrió","cubrimos","cubristeis","cubrieron","cubriré","cubrirás","cubrirá","cubriremos","cubriréis","cubrirán","cubriría","cubrirías","cubriría","cubriríamos","cubriríais","cubrirían","cubra","cubras","cubra","cubramos","cubráis","cubran","cubriera","cubrieras","cubriera","cubriéramos","cubrierais","cubrieran",,"cubre","cubra","cubramos","cubrid","cubran",,"cubras","cubra","cubramos","cubráis","cubran","cubriendo","cubierto","cubierto"
"describir","describo","describes","describe","describimos","describís","describen","describía","describías","describía","describíamos","describíais","describían","describí","describiste","describió","describimos","describisteis","describieron","describiré","describirás","describirá","describiremos","describiréis","describirán","describiría","describirías","describiría","describiríamos","describiríais","describirían","describa","describas","describa","describamos","describáis","describan","describiera","describieras","describiera","describiéramos","describierais","describieran",,"describe","describa","describamos","describid","describan",,"describas","describa","describamos","describáis","describan","describiendo","descrito","descrito"
"descubrir","descubro","descubres","descubre","descubrimos","descubrís","descubren","descubría","descubrías","descubría","descubríamos","descubríais","descubrían","descubrí","descubriste","descubrió","descubrimos","descubristeis","descubrieron","descubriré","descubrirás","descubrirá","descubriremos","descubriréis","descubrirán","descubriría","descubrirías","descubriría","descubriríamos","descubriríais","descubrirían","descubra","descubras","descubra","descubramos","descubráis","descubran","descubriera","descubrieras","descubriera","descubriéramos","descubrierais","descubrieran",,"descubre","descubra","descubramos","descubrid","descubran",,"descubras","descubra","descubramos","descubráis","descubran","descubriendo","descubierto","descubierto"
"devolver","devuelvo","devuelves","devuelve","devolvemos","devolvéis","devuelven","devolvía","devolvías","devolvía","devolvíamos","devolvíais","devolvían","devolví","devolviste","devolvió","devolvimos","devolvisteis","devolvieron","devolveré","devolverás","devolverá","devolveremos","devolveréis","devolverán","devolvería","devolverías","devolvería","devolveríamos","devolveríais","devolverían","devuelva","devuelvas","devuelva","devolvamos","devolváis","devuelvan","devolviera","devolvieras","devolviera","devolviéramos","devolvierais","devolvieran",,"devuelve","devuelva","devolvamos","devolved","devuelvan",,"devuelvas","devuelva","devolvamos","devolváis","devuelvan","devolviendo","devuelto","devuelto"
"envolver","envuelvo","envuelves","envuelve","envolvemos","envolvéis","envuelven","envolvía","envolvías","envolvía","envolvíamos","envolvíais","envolvían","envolví","envolviste","envolvió","envolvimos","envolvisteis","envolvieron","envolveré","envolverás","envolverá","envolveremos","envolveréis","envolverán","envolvería","envolverías","envolvería","envolveríamos","envolveríais","envolverían","envuelva","envuelvas","envuelva","envolvamos","envolváis","envuelvan","envolviera","envolvieras","envolviera","envolviéramos","envolvierais","envolvieran",,"envuelve","envuelva","envolvamos","envolved","envuelvan",,"envuelvas","envuelva","envolvamos","envolváis","envuelvan","envolviendo","envuelto","envuelto"
"escribir","escribo","escribes","escribe","escribimos","escribís","escriben","escribía","escribías","escribía","escribíamos","escribíais","escribían","escribí","escribiste","escribió","escribimos","escribisteis","escribieron","escribiré","escribirás","escribirá","escribiremos","escribiréis","escribirán","escribiría","escribirías","escribiría","escribiríamos","escribiríais","escribirían","escriba","escribas","escriba","escribamos","escribáis","escriban","escribiera","escribieras","escribiera","escribiéramos","escribierais","escribieran",,"escribe","escriba","escribamos","escribid","escriban",,"escribas","escriba","escribamos","escribáis","escriban","escribiendo","escrito","escrito"
"inscribir","inscribo","inscribes","inscribe","inscribimos","inscribís","inscriben","inscribía","inscribías","inscribía","inscribíamos","inscribíais","inscribían","inscribí","inscribiste","inscribió","inscribimos","inscribisteis","inscribieron","inscribiré","inscribirás","inscribirá","inscribiremos","inscribiréis","inscribirán","inscribiría","inscribirías","inscribiría","inscribiríamos","inscribiríais","inscribirían","inscriba","inscribas","inscriba","inscribamos","inscribáis","inscriban","inscribiera","inscribieras","inscribiera","inscribiéramos","inscribierais","inscribieran",,"inscribe","inscriba","inscribamos","inscribid","inscriban",,"inscribas","inscriba","inscribamos","inscribáis","inscriban","inscribiendo","inscrito","inscrito"
"inscribirse","me inscribo","te inscribes","se inscribe","nos inscribimos","os inscribís","se inscriben","me inscribía","te inscribías","se inscribía","nos inscribíamos","os inscribíais","se inscribían","me inscribí","te inscribiste","se inscribió","nos inscribimos","os inscribisteis","se inscribieron","me inscribiré","te inscribirás","se inscribirá","nos inscribiremos","os inscribiréis","se inscribirán","me inscribiría","te inscribirías","se inscribiría","nos inscribiríamos","os inscribiríais","se inscribirían","me inscriba","te inscribas","se inscriba","nos inscribamos","os inscribáis","se inscriban","me inscribiera","te inscribieras","se inscribiera","nos inscribiéramos","os inscribierais","se inscribieran",,"inscríbete","inscríbase","inscribámonos","inscribíos","inscríbanse",,"te inscribas","inscríbase","inscribámonos","os inscribáis","inscríbanse","inscribiéndose","inscrito","inscrito"
