full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"advertir","advierto","adviertes","advierte","advertimos","advertís","advierten","advertía","advertías","advertía","advertíamos","advertíais","advertían","advertí","advertiste","advirtió","advertimos","advertisteis","advirtieron","advertiré","advertirás","advertirá","advertiremos","advertiréis","advertirán","advertiría","advertirías","advertiría","advertiríamos","advertiríais","advertirían","advierta","adviertas","advierta","advirtamos","advirtáis","adviertan","advirtiera","advirtieras","advirtiera","advirtiéramos","advirtierais","advirtieran",,"advierte","advierta","advirtamos","advertid","adviertan",,"adviertas","advierta","advirtamos","advirtáis","adviertan","advirtiendo","advertido","advertido"
"convenir","convengo","convienes","conviene","convenimos","convenís","convienen","convenía","convenías","convenía","conveníamos","conveníais","convenían","convine","conviniste","convino","convinimos","convinisteis","convinieron","convendré","convendrás","convendrá","convendremos","convendréis","convendrán","convendría","convendrías","convendría","convendríamos","convendríais","convendrían","convenga","convengas","convenga","convengamos","convengáis","convengan","conviniera","convinieras","conviniera","conviniéramos","convinierais","convinieran",,"conviene","convenga","convengamos","convenid","convengan",,"convengas","convenga","convengamos","convengáis","convengan","conviniendo","convenido","convenido"
"convertir","convierto","conviertes","convierte","convertimos","convertís","convierten","convertía","convertías","convertía","convertíamos","convertíais","convertían","convertí","convertiste","convirtió","convertimos","convertisteis","convirtieron","convertiré","convertirás","convertirá","convertiremos","convertiréis","convertirán","convertiría","convertirías","convertiría","convertiríamos","convertiríais","convertirían","convierta","conviertas","convierta","convirtamos","convirtáis","conviertan","convirtiera","convirtieras","convirtiera","convirtiéramos","convirtierais","convirtieran",,"convierte","convierta","convirtamos","convertid","conviertan",,"conviertas","convierta","convirtamos","convirtáis","conviertan","convirtiendo","convertido","convertido"
"divertirse","me divierto","te diviertes","se divierte","nos divertimos","os divertís","se divierten","me divertía","te divertías","se divertía","nos divertíamos","os divertíais","se divertían","me divertí","te divertiste","se divirtió","nos divertimos","os divertisteis","se divirtieron","me divertiré","te divertirás","se divertirá","nos divertiremos","os divertiréis","se divertirán","me divertiría","te divertirías","se divertiría","nos divertiríamos","os divertiríais","se divertirían","me divierta","te diviertas","se divierta","nos divirtamos","os divirtáis","se diviertan","me divirtiera","te divirtieras","se divirtiera","nos divirtiéramos","os divirtierais","se divirtieran",,"diviértete","diviértase","divirtámonos","divertíos","diviértanse",,"te diviertas","diviértase","divirtámonos","os divirtáis","diviértanse","divirtiéndose","divertido","divertido"
"herir","hiero","hieres","hiere","herimos","herís","hieren","hería","herías","hería","heríamos","heríais","herían","herí","heriste","hirió","herimos","heristeis","hirieron","heriré","herirás","herirá","heriremos","heriréis","herirán","heriría","herirías","heriría","heriríamos","heriríais","herirían","hiera","hieras","hiera","hiramos","hiráis","hieran","hiriera","hirieras","hiriera","hiriéramos","hirierais","hirieran",,"hiere","hiera","hiramos","herid","hieran",,"hieras","hiera","hiramos","hiráis","hieran","hiriendo","herido","herido"
"mentir","miento","mientes","miente","mentimos","mentís","mienten","mentía","mentías","mentía","mentíamos","mentíais","mentían","mentí","mentiste","mintió","mentimos","mentisteis","mintieron","mentiré","mentirás","mentirá","mentiremos","mentiréis","mentirán","mentiría","mentirías","mentiría","mentiríamos","mentiríais","mentirían","mienta","mientas","mienta","mintamos","mintáis","mientan","mintiera","mintieras","mintiera","mintiéramos","mintierais","mintieran",,"miente","mienta","mintamos","mentid","mientan",,"mientas","mienta","mintamos","mintáis","mientan","mintiendo","mentido","mentido"
"preferir","prefiero","prefieres","prefiere","preferimos","preferís","prefieren","prefería","preferías","prefería","preferíamos","preferíais","preferían","preferí","preferiste","prefirió","preferimos","preferisteis","prefirieron","preferiré","preferirás","preferirá","preferiremos","preferiréis","preferirán","preferiría","preferirías","preferiría","preferiríamos","preferiríais","preferirían","prefiera","prefieras","prefiera","prefiramos","prefiráis","prefieran","prefiriera","prefirieras","prefiriera","prefiriéramos","prefirierais","prefirieran",,"prefiere","prefiera","prefiramos","preferid","prefieran",,"prefieras","prefiera","prefiramos","prefiráis","prefieran","prefiriendo","preferido","preferido"
"referir","refiero","refieres","refiere","referimos","referís","refieren","refería","referías","refería","referíamos","referíais","referían","referí","referiste","refirió","referimos","referisteis","refirieron","referiré","referirás","referirá","referiremos","referiréis","referirán","referiría","referirías","referiría","referiríamos","referiríais","referirían","refiera","refieras","refiera","refiramos","refiráis","refieran","refiriera","refirieras","refiriera","refiriéramos","refirierais","refirieran",,"refiere","refiera","refiramos","referid","refieran",,"refieras","refiera","refiramos","refiráis","refieran","refiriendo","referido","referido"
"sentir","siento","sientes","siente","sentimos","sentís","sienten","sentía","sentías","sentía","sentíamos","sentíais","sentían","sentí","sentiste","sintió","sentimos","sentisteis","sintieron","sentiré","sentirás","sentirá","sentiremos","sentiréis","sentirán","sentiría","sentirías","sentiría","sentiríamos","sentiríais","sentirían","sienta","sientas","sienta","sintamos","sintáis","sientan","sintiera","sintieras","sintiera","sintiéramos","sintierais","sintieran",,"siente","sienta","sintamos","sentid","sientan",,"sientas","sienta","sintamos","sintáis","sientan","sintiendo","sentido","sentido"
"sentirse","me siento","te sientes","se siente","nos sentimos","os sentís","se sienten","me sentía","te sentías","se sentía","nos sentíamos","os sentíais","se sentían","me sentí","te sentiste","se sintió","nos sentimos","os sentisteis","se sintieron","me sentiré","te sentirás","se sentirá","nos sentiremos","os sentiréis","se sentirán","me sentiría","te sentirías","se sentiría","nos sentiríamos","os sentiríais","se sentirían","me sienta","te sientas","se sienta","nos sintamos","os sintáis","se sientan","me sintiera","te sintieras","se sintiera","nos sintiéramos","os sintierais","se sintieran",,"siéntete","siéntase","sintámonos","sentíos","siéntanse",,"te sientas","siéntase","sintámonos","os sintáis","siéntanse","sintiéndose","sentido","sentido"
